Threads	2PL-Undo-Dist-SF-BTree-100%	2PL-Undo-Dist-SF-BTree-10%	2PL-Undo-Dist-SF-BTree-1%	2PL-Undo-Dist-SF-BTree-0%	
1	941713	1137582	1278450	1343108	
4	3670687	4356168	4910851	5223153	
8	6085122	8052082	8685854	10410082	
12	3701021	7426677	13849275	15582545	
16	10547374	15219608	16933001	20782139	
24	14044824	18380711	18935661	26176950	
32	12171060	28113980	29947490	31185437	
40	17842875	31092111	37460061	41360725	
48	19605199	28288595	24005313	50622640	
56	8148827	11464038	50648493	55181993	
64	17217715	35833883	26007806	59804220	
