Threads	2PL-Undo-BTree-100%	2PL-Undo-BTree-10%	2PL-Undo-BTree-1%	2PL-Undo-BTree-0%	
1	726388	971594	1010513	1021162	
2	753726	1406313	1379924	1458255	
3	506660	1447271	1414570	1484169	
4	475719	1424076	1681721	1517341	
6	312203	1810023	1344180	1539444	
8	192693	1501104	1736520	1867170	
12	22100	400974	1891311	1211937	
16	957207	316636	1781344	1766426	
24	24882	98380	3087071	2171377	
32	19152	172410	2016896	2404412	
40	76241	1314414	586423	2530543	
48	1083386	1991211	635026	2220254	
55	5247	234853	2351705	2249264	
